institution_id,institution_name,course_id,course_name,foe1_broad_field,foe1_narrow_field,foe1_detailed_field,course_level,course_duration,tuition_fee,non_tuition_fee,total_course_cost
00025B,The University of Queensland,080734K,Bachelor of Engineering (Honours),03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,208,201722.0,4348.0,206070.0
00025B,The University of Queensland,080920G,Doctor of Medicine (Ochsner),06 - Health,0601 - Medical Studies,060101 - General Medicine,Masters Degree (Extended),208,439133.0,8392.0,447525.0
00025B,The University of Queensland,080921G,Doctor of Medicine,06 - Health,0601 - Medical Studies,060101 - General Medicine,Masters Degree (Extended),208,362848.0,8908.0,371756.0
00025B,The University of Queensland,081216B,Bachelor of Environmental Science (Honours),01 - Natural and Physical Sciences,0107 - Earth Sciences,"010700 - Earth Sciences, n.f.d.",Bachelor Honours Degree,208,194513.0,4392.0,198905.0
00025B,The University of Queensland,081217A,Bachelor of Agricultural Science (Honours),"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",Bachelor Honours Degree,208,76132.0,4332.0,80464.0
00025B,The University of Queensland,081640G,Bachelor of Music (Honours)/Bachelor of Education (Secondary),10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Honours Degree,260,197704.0,5410.0,203114.0
00025B,The University of Queensland,081642F,Bachelor of Music (Honours),10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Honours Degree,208,155596.0,4348.0,159944.0
00025B,The University of Queensland,081748G,Bachelor of Arts (Honours),09 - Society and Culture,0903 - Studies in Human Society,090307 - Archaeology,Bachelor Honours Degree,52,36009.0,1129.0,37138.0
00025B,The University of Queensland,081749F,Bachelor of Business Management (Honours),08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Bachelor Honours Degree,52,44496.0,1129.0,45625.0
00025B,The University of Queensland,081754J,Bachelor of Commerce (Honours),08 - Management and Commerce,0801 - Accounting,080101 - Accounting,Bachelor Honours Degree,52,44496.0,1129.0,45625.0
00025B,The University of Queensland,081755G,Bachelor of Economics (Honours),09 - Society and Culture,0919 - Economics and Econometrics,"091900 - Economics and Econometrics, n.f.d",Bachelor Honours Degree,52,43200.0,974.0,44174.0
00025B,The University of Queensland,081756G,Bachelor of Journalism (Honours),10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Bachelor Honours Degree,52,34960.0,974.0,35934.0
00025B,The University of Queensland,081757F,Bachelor of Social Science (Honours),09 - Society and Culture,0903 - Studies in Human Society,090301 - Sociology,Bachelor Honours Degree,52,33056.0,974.0,34030.0
00025B,The University of Queensland,081758E,Bachelor of Communication (Honours),10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Bachelor Honours Degree,52,34960.0,974.0,35934.0
00025B,The University of Queensland,081759D,Bachelor of Human Services (Honours),09 - Society and Culture,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,Bachelor Honours Degree,52,34048.0,1125.0,35173.0
00025B,The University of Queensland,082504G,"Research Study Abroad (Agriculture and environmental studies, dentistry, engineering, human movement, medical studies, natural and physical sciences, pharmacy, psychology, veterinary science)",07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Non AQF Award,52,37480.0,0.0,37480.0
00025B,The University of Queensland,082595M,Master of Business,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",Masters Degree (Coursework),104,91662.0,2089.0,93751.0
00025B,The University of Queensland,082596K,Master of Commerce,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Masters Degree (Coursework),104,96007.0,2089.0,98096.0
00025B,The University of Queensland,082598G,Master of Development Economics,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),104,91390.0,2089.0,93479.0
