location_name,address_line_1,city,state,postcode
Red Cliffs Secondary College,55 Fitzroy Avenue,Red Cliffs,VIC,3496
Reservoir High School,855 Plenty Road,RESERVOIR,VIC,3073
Richmond High School,4 Griffiths Street,RICHMOND,VIC,3121
Richmond West Primary School,25 Lennox Street,RICHMOND,VIC,3121
Ringwood Secondary College,Bedford Road,RINGWOOD,VIC,3134
Rosanna Golf Links Primary School,Interlaken Parade,Rosanna,VIC,3084
Rosehill Secondary College,Sapphire Street,NIDDRIE,VIC,3042
Rowville Primary School,Paratea Drive,ROWVILLE,VIC,3178
Rowville Secondary College,17 Paratea Drive,ROWVILLE,VIC,3178
Sale College,73-81 Macalister Street,SALE,VIC,3850
Sandringham College,11 Holloway Road,SANDRINGHAM,VIC,3191
Sandringham East Primary School,9 Holloway Road,SANDRINGHAM,VIC,3191
Scoresby Secondary College,Cavell Street,SCORESBY,VIC,3179
Seaholme Primary School,Cnr Millers Rd & Civic Parade,SEAHOLME,VIC,3018
Serpell Primary School,Tuckers Road,TEMPLESTOWE,VIC,3106
Silverton Primary School,77-123 Jacksons Road,Noble Park North,VIC,3174
South Oakleigh Secondary College,Browns Road,CLAYTON,VIC,3168
Spring Parks Primary School,24 Erica Street,SPRINGVALE,VIC,3171
Springvale Rise Primary School,32-52 Wareham Street,SPRINGVALE,VIC,3171
St Albans Secondary College,Cnr Watkins road and School Camp Road,CREEK JUNCTION,VIC,3669
Stawell Secondary College,79-97 Patrick Street,STAWELL,VIC,3380
Strathmore Secondary College,400 Pascoe Vale Road,STRATHMORE,VIC,3041
Sunbury Downs Secondary College,148-174 Mitchells Lane,SUNBURY,VIC,3429
Sunshine College,Graham Street,SUNSHINE,VIC,3020
Sunshine Harvester Primary School,132 Hertford Road,SUNSHINE,VIC,3020
Surf Coast Secondary College,75 White Street,TORQUAY,VIC,3228
Syndal South Primary School,14 Montgomery Avenue,MOUNT WAVERLEY,VIC,3149
Taylors Lakes Primary School,21-35 Chichester Drive,TAYLORS LAKES,VIC,3038
Templestowe College,7 Cypress Avenue,TEMPLESTOWE LOWER,VIC,3107
The Grange P-12 College,30 Deloraine Drive,HOPPERS CROSSING,VIC,3029
Thornbury High School,238 Collins Street,THORNBURY,VIC,3071
University High School,77 Story Street,PARKVILLE,VIC,3052
Upper Ferntree Gully Primary School,Talaskia Road,Upper Ferntree Gully,VIC,3156
Vermont Secondary College,27 - 63 Morack Road,VERMONT,VIC,3133
Victoria University Secondary College,5A Jamieson Street,ST ALBANS,VIC,3021
Victorian College Of The Arts Secondary School,57 Miles Street,SOUTHBANK,VIC,3006
Viewbank College,Warren Road,ROSANNA,VIC,3084
Wallan Secondary College,100 Duke Street,WALLAN,VIC,3756
Wantirna College,90 Harold Street,WANTIRNA,VIC,3152
Wantirna Primary School,120 Mountain Highway,WANTIRNA,VIC,3152
Warrandyte High School,241-247 Heidelberg-Warrandyte Rd,WARRANDYTE,VIC,3113
Wellington Secondary College,91 Police Road,MULGRAVE,VIC,3170
Werribee Secondary College,45 Duncans Road,WERRIBEE,VIC,3030
Westall Primary School,Fairbank Road,CLAYTON SOUTH,VIC,3169
Westall Secondary College,88-128 Rosebank Avenue,CLAYTON SOUTH,VIC,3169
Wheelers Hill Secondary College,2-28 Raphael Drive,WHEELERS HILL,VIC,3150
Williamstown High School,76 Pasco Street,WILLIAMSTOWN,VIC,3016
Wodonga Middle Years College,22-24 Mitchell Street,WODONGA,VIC,3690
Wodonga Senior Secondary College,80 Brockley Street,WODONGA,VIC,3690
Yarra Primary School,68-76 Davison Street,RICHMOND,VIC,3121
St Aloysius College,31 Curran St,NORTH MELBOURNE,VIC,3051
St Joseph's College - Ferntree Gully,5 Brenock Park Dr,FERNTREE GULLY,VIC,3156
"251 Cotlew Street, Ashmore",251 Cotlew St,ASHMORE,QLD,4214
Trinity Lutheran College,641 Ashmore Rd,ASHMORE,QLD,4214
Berwick Campus - 25 Kangan Drive,25 Kangan Dr,BERWICK,VIC,3806
Cranbourne Campus - New Holland Drive,2 New Holland Dr,CRANBOURNE,VIC,3977
Dandenong Campus - 121 Stud Road,121 Stud Rd,DANDENONG,VIC,3175
Dandenong Campus - 311 Lonsdale Street,311 Lonsdale St,Dandenong,VIC,3175
Frankston Campus - Fletcher Road,25 Fletcher Rd,FRANKSTON,VIC,3199
Pittwater House Schools,Westmoreland Ave,COLLAROY,NSW,2097
Holmes Commercial Colleges Melbourne Limited,185 Spring St,MELBOURNE,VIC,3000
"55 Regent St, Chippendale NSW 2008",55 Regent Street,Chippendale,NSW,2008
A.B. Paterson College Ltd,A B Paterson Dr,Arundel,QLD,4214
Brisbane Christian College (Middle & Secondary Campus),63 Fairlie Tce,Salisbury,QLD,4107
Brisbane Christian College (Primary Campus),109 Golda Ave,SALISBURY,QLD,4107
ATMC- Melbourne,470 Bourke Street,Melbourne,VIC,3000
Western Sydney University - Bankstown City,74 Rickard Rd,Bankstown,NSW,2200
Western Sydney University - Campbelltown,Narellan Rd,Campbelltown,NSW,2560
Western Sydney University - Hawkesbury,"Student Centre, Building G7",RICHMOND,NSW,2753
Western Sydney University - Liverpool,100 Macquarie St,Liverpool,NSW,2170
Western Sydney University - Nirimba,UWS College Nirimba Campus,Quakers Hill,NSW,2763
Western Sydney University - Parramatta,Cnr of Victoria Rd & James Ruse Dr,Parramatta,NSW,2150
Western Sydney University - Parramatta City,"169 Macquarie St,",Parramatta,NSW,2150
Western Sydney University - Penrith,"Student Centre, Building I",KINGSWOOD,NSW,2747
Western Sydney University - Sydney City Campus,Level 4,Sydney,NSW,2000
Redlands College Ltd,38 Anson Rd,WELLINGTON ROAD,QLD,4160
Cass Training International College,48 Lime St,SYDNEY,NSW,2000
Alphacrucis Adelaide Campus - 1013 South Road,1013 South Rd,MELROSE PARK,SA,5039
Alphacrucis College - 42 OKeefe Street,42 OKeefe St,WOOLLOONGABBA,QLD,4102
Alphacrucis College - Baulkham Hills (Higher Ed) - Norwest Boulevard and Solent Circuit,cnr Norwest Boulevard and Solent Circuit,BAULKHAM HILLS,NSW,2153
Alphacrucis College Hobart - 45 Melville Street,45 Melville St,HOBART,TAS,7000
Alphacrucis College Limited - 30 Cowper Street,30 Cowper St,PARAMATTA,NSW,2150
Alphacrucis College Waterloo - 188 Young Street,188 Young St,SYDNEY,NSW,2017
"Alphacrucis College, Perth - 3/642 Albany Highway",642 Albany Hwy,VICTORIA PARK,WA,6100
"Level 4 350 Queen St, Melbourne VIC 3000",350 Queen St,Melbourne,VIC,3000
The Cathedral School,Ross River Rd,TOWNSVILLE,QLD,4810
Brisbane Adventist College,303A Broadwater Rd,MANSFIELD,QLD,4122
Haileybury Rendall School,Berrimah Rd,BERRIMAH,NT,828
St Laurence's College,82 Stephens Rd,SOUTH BRISBANE,QLD,4101
Ivanhoe Girls' Grammar School,123 Marshall St,Ivanhoe,VIC,3079
Melbourne Grammar School,355 St Kilda Rd,MELBOURNE,VIC,3004
Gilson College,450 Taylors Rd,TAYLORS HILL,VIC,3037
Mernda Campus,370 Bridge Inn Rd,Mernda,VIC,3754
All Saints Anglican School,Highfield Dr,Merrimac,QLD,4226
Perth Bible College (Inc),1 College Ct,Karrinyup,WA,6018
Australian Islamic College (Dianella),81 Cleveland St,DIANELLA,WA,6059
Australian Islamic College (Kewdale),139 President St,KEWDALE,WA,6105
Australian Islamic College (Thornlie),17 Tonbridge Way,THORNLIE,WA,6108
Whitsunday Anglican School,Celeber Dr,BEACONSFILED,QLD,4740
Citipointe Christian College,322 Wecker Rd,CARINDALE,QLD,4152
Christian Heritage College,322 Wecker Rd,Carindale,QLD,4122
"University of Sydney (Wentworth) (Centre for English Teaching, ELICOS Operations)",Wentworth Building,DARLINGTON,NSW,2008
UNSW College (Kensington),Building L5 and Blockhouse,KENSINGTON,NSW,2033
Korowa Anglican Girls' School,Ranfurlie Cres,GLEN IRIS,VIC,3146
Rabbinical College of Australia and New Zealand,67 Alexandra St,EAST ST KILDA,VIC,3183
The University of Notre Dame Australia - Broadway,Pioneer House,BROADWAY,NSW,2007
The University of Notre Dame Australia - Broome,88 Guy St,Broome,WA,6725
The University of Notre Dame Australia - Darlinghurst,160 Oxford St,Darlinghurst,NSW,2010
The University of Notre Dame Australia - Fremantle,19 Mouat St,FREMANTLE,WA,6160
Cairns Christian College,BRINSMEAD Rd,BRINSMEAD,QLD,4870
Australian Lutheran College,104 Jeffcott St,North Adelaide,SA,5006
Catholic Theological College,278 Victoria Pde,East Melbourne,VIC,8002
Pilgrim Theological College,29 College Cres,Parkville,VIC,3052
St Athanasius Coptic Orthodox Theological College,88 Park Rd,Donvale,VIC,3111
St Barnabas College,18 King William Rd,North Adelaide,SA,5006
Trinity College,"Trinity Collge, Royal Pde",Parkville,VIC,3052
Whitley College,271 Royal Pde,Parkville,VIC,3052
Yarra Theological Union,98 Albion Road,Box Hill,VIC,3128
Chabad Institutions of Australia Inc,88 Hotham St,ST KILDA EAST,VIC,3183
Hillcrest Christian College Ltd,21 Bridgman Dr,REEDY CREEK,QLD,4228
164 Melbourne Street,164 Melbourne St,SOUTH BRISBANE,QLD,4101
20 Queen St PERTH WA 6000,20 Queen St,PERTH,WA,6000
53 Balfour St Chippendale NSW 2008,53 Balfour St,Chippendale,NSW,2008
EF International Language Schools (5 - 7 Young Street) (ELICOS Operations),5 Young St,SYDNEY,NSW,2000
Mueller College Limited,75 Morris Rd,Rothwell,QLD,4022
Nazareth College,Manning Park,NOBLE PARK,VIC,3174
Girton Grammar School,105 Mackenzie St,BENDIGO,VIC,3550
St Dominic's Priory College,139 Molesworth St,North Adelaide,SA,5006
AMPA Surry Hills,136 Chalmers St,Surry Hills,NSW,2010
Adelaide - Grenfell Street,Suite 1 Level 9 68 Grenfell St,Adelaide,SA,5000
Brisbane - Ann Street,Ground Floor 369 Ann St,Brisbane,QLD,4000
Kaplan International College Sydney City (ELICOS Operations),98 Goulburn St,SYDNEY,NSW,2000
St Aidan's Anglican Girls School,11 Ruthven St,Corinda,QLD,4075
Bendigo,136 McCrae St,BENDIGO,VIC,3550
Broadmeadows Campus,59 Pearcadale Pde,Broadmeadows,VIC,3047
Docklands,1 Batman's Hill Dr,Docklands,VIC,3008
Echuca Campus,208 Darling St,Echuca,VIC,3564
Essendon,38 Buckley St,Essendon,VIC,3040
Richmond,85 Cremorne St,Richmond,VIC,3121
MacKillop Catholic Regional College (St Mary's campus),Cnr Whites & O'Connors Rd,Werribee South,VIC,3030
Mackillop Catholic Regional College (Werribee),Russell St,WERRIBEE,VIC,3030
Coffs Harbour,Coffs Harbour Education Campus,Coffs Harbour,NSW,2457
Coomera,198 Foxwell Rd,COOMERA,QLD,4209
English Language Centre (Lismore) (ELICOS Operations),1 Military Rd,EAST LISMORE,NSW,2480
Gold Coast Airport Development Park - Bilinga,Gold Coast Aiport Development Park,BILINGA,QLD,4225
"Level 2 & 4, 84-86 Mary Street, Surrey Hills (Sydney Campus)","Level 2, 84 Mary St",Surrey Hills,NSW,2000
Lismore,Military Rd,EAST LISMORE,NSW,2480
Melbourne Campus,108 Lonsdale St,Melbourne,VIC,3000
National Marine Science Centre,Bay Dr,COFFS HARBOUR,NSW,2457
SCU Perth,Ground Floor and Level 1,Perth,WA,6004
The Hotel School Brisbane,"Level 13, 127 Creek St",Brisbane,QLD,4000
The Hotel School Hayman Island,1 Raintree Avenue,Hayman Island,QLD,4801
The Hotel School Melbourne,"Level 3, 399 Lonsdale St",Melbourne,VIC,3000
The Hotel School Sydney,"Ground floor and Level 1-3, 60 Phillip St",SYDNEY,NSW,2000
Rivermount College,Rivermount Dr,Beenleigh,QLD,4207
St Andrew's Christian College,333 Burwood Hwy,BURWOOD,VIC,3125
"69 and 75 Grey St, Brisbane",69 Grey St,SOUTH BRISBANE,QLD,4101
Melbourne,171 Bank St,SOUTH MELBOURNE,VIC,3205
Sydney,561 Harris St,Ultimo,NSW,2007
Peace Lutheran College,Cowley St,FRESHWATER,QLD,4870
Australian International College of Language Pty Ltd,66 Marine Pde,SOUTHPORT,QLD,4215
Canberra Girl's Grammar School,Melbourne Ave,DEAKIN,ACT,2600
Australian Wings Academy - Gold Coast,Shed 19,Bilinga,QLD,4225
Australian Wings Academy Pty Ltd,19 Lores Bonney Cct,COOLANGATTA,QLD,4225
Hangar 3,3 Qantas Ave,Archerfield,QLD,4108
15 Cross Rd URRBRAE SA 5064,15 Cross Rd,URRBRAE,SA,5064
"98 Albion Road, Box Hill",98 Albion Rd,Box Hill,VIC,3128
"Edith Cowan College 10 Injune Way, Joondalup Campus",10 Injune Way,Joondalup,WA,6027
Edith Cowan College Pty Ltd Mount Lawley Campus,Building 10,MOUNT LAWLEY,WA,6050
St Luke's Anglican School,4 Mezger St,BUNDABERG,QLD,4670
ACAP Adelaide Campus,15-19 Franklin Street,Adelaide,SA,5000
ACAP Brisbane Campus,"Ground Floor and Level 3, 410 Ann St",BRISBANE,QLD,4000
ACAP Melbourne Campus,"Level 3, 222 Bourke Street",Melbourne,VIC,3000
ACAP Perth Campus,Level 3/116-120 Roe St,Northbridge,WA,6003
ACAP Sydney Campus,"Levels 8, 11 and 12",SYDNEY,NSW,2000
West Moreton Anglican College,Keswick Rd,Ipswich,QLD,4306
Australian Pacific College (Hickson Rd),18 Hickson Rd,DAWES POINT,NSW,2000
Australian Pacific College (L1 King William St),Level 1 29 King William St,ADELAIDE,SA,5000
Australian Pacific College (L1 Queen St),"Level 1, 221 Queen Street",MELBOURNE,VIC,3000
"Australian Pacific College (L1,2 Pitt St)",363 Pitt St,SYDNEY,NSW,2000
Australian Pacific College (L3 Beach Rd),9 Beach Rd,SURFERS PARADISE,QLD,4217
Australian Pacific College (L3 Clarence St),123 Clarence St,SYDNEY,NSW,2000
Australian Pacific College (L4 Lonsdale St),Level 4,MELBOURNE,VIC,3000
Australian Pacific College (L5 York St),37 York St,SYDNEY,NSW,2000
Australian Pacific College (L9 Queen St),221 Queen St,MELBOURNE,VIC,3000
"Australian Pacific College (L9,10,12,13 Albert St)",138 Albert St,BRISBANE,QLD,4000
Australian Pacific College (LG Kent St),189 Kent St,SYDNEY,NSW,2000
Australian Pacific College (Sydney Rd) (RTO Operations),48 Sydney Rd,MANLY,NSW,2095
Australian Pacific College(L3 L5 WIlliam St Melbourne),Level 3 and 5 255 William St,MELBOURNE,VIC,3000
"Level 5, 138 Albert Street",138 Albert St,Brisbane,QLD,4000
Slacks Creek Campus - Unit 1 3431 Pacific Hwy SLACKS CREEK QLD,Unit 1 3431 Pacific Hwy,SLACKS CREEK,QLD,4127
Alphington Grammar School,18 Old Heidelberg Rd,ALPHINGTON,VIC,3078
Brisbane North Adventist College,Hughes Rd E,DAKABIN,QLD,4503
St John's Anglican College - Primary campus,Alpine Pl,FOREST LAKE,QLD,4078
St John's Anglican College - Secondary campus,College Ave,FOREST LAKE,QLD,4078
Caloundra Christian College Limited,7 Gregson Pl,CALOUNDRA,QLD,4551
Immanuel Lutheran College,Wises Rd,MAROOCHYDORE,QLD,4558
Nambour Christian College,McKenzie Rd,WOOMBYE,QLD,4559
Ella Bache College Brisbane,269 Wickham St,FORTITUDE VALLEY,QLD,4006
"International College of Management (151 Darley Road, Manly)",151 Darley Rd,MANLY,NSW,2095
"Manning Building, Level 4, 451 Pitt Street Sydney",Level 4,Sydney,NSW,2000
Sydney Academy of Sport and Recreation,Wakehurst Pkwy,Narrabeen,NSW,2101
Hellenic Community of WA Inc,4 Hellenic Dr,Dianella,WA,6062
Clairvaux Mackillop College,Klumpp Rd,Upper Mount Gravatt,QLD,4122
"44 Raymond Street, Bankstown NSW 2200",44 Raymond Street,BANKSTOWN,NSW,2200
Kardinia International College (Geelong) Ltd,205 Ballarat Rd,BELL POST HILL,VIC,3215
11 Bowden Street Alexandria NSW 2015,11 Bowden St,Alexandria,NSW,2015
William Angliss Institute of TAFE,555 La Trobe St,MELBOURNE,VIC,3000
Level 1 15 Moore Street,"Level 1, 15 Moore Street",CANBERRA,ACT,2601
Level 10 140 Elizabeth Street,Level 10,SYDNEY,NSW,2000
Level 2 108 Margaret Street,Level 2,Brisbane,QLD,4000
Lake Joondalup Baptist College,Kennedya Dr,JOONDALUP,WA,6027
Hillsong Church (Castle Hill) (RTO Operations),1 Solent Cct,BAULKHAM HILLS,NSW,2153
Hillsong Church (Waterloo) (RTO Operations),188 Young St,WATERLOO,NSW,2017
Hillsong Church Ltd (Alexandria) (RTO Operations),138 Bourke Rd,ALEXANDRIA,NSW,2015
St Peter's College,57 Hackney Rd,ST PETERS,SA,5069
Prescott College Southern,140 Pimpala Rd,MORPHETT VALE,SA,5162
"Level 16, 233 Castlereach St SYDNEY",Level 16,Sydney,NSW,2000
"288 La Trobe St, Melbourne",288 La Trobe St,Melbourne,VIC,3000
MIT Sydney Language Centre (ELICOS Operations) (Sussex Street),Levels 1 to 7,SYDNEY,NSW,2000
Australian National Memorial Theatre Ltd,20 Carlisle St,ST KILDA,VIC,3182
23-25 Airport Avenue Bankstown Airport,23 Airport Ave,BANKSTOWN,NSW,2200
"Building 9 Grenier Drive, Archerfield Airport",210 Qantas Ave,ARCHERFIELD,QLD,4108
255 Elizabeth Street,255 Elizabeth St,SYDNEY,NSW,2000
Quinns Baptist College Inc,Corner Anchorage Dr & Marmion Ave,Quinns Rocks,WA,6030
Baulkham Hills,2 Columbia Ct,BAULKHAM HILLS,NSW,2153
Deakin College - Burwood Campus,70 Elgar Rd,BURWOOD,VIC,3125
Deakin College - Geelong Waterfront Campus,1 Gheringhap St,Geelong,VIC,3220
Deakin College - Waurn Ponds Campus,75 Pigdons Rd,Highton ,VIC,3216
Fraser Coast Anglican College,Doolong South Rd,HERVEY BAY,QLD,4655
UniSC Adelaide,182 Victoria Square,Adelaide,SA,5000
UniSC Caboolture,80106 Tallon Street,Caboolture,QLD,4510
UniSC Fraser Coast,161 Old Maryborough Rd,Hervey Bay,QLD,4655
UniSC Gympie,71 Cartwright Rd,Gympie,QLD,4570
UniSC Moreton Bay,1 Moreton Parade,Petrie,QLD,4502
UniSC Sunshine Coast,90 Sippy Downs Drive,SIPPY DOWNS,QLD,4556
UniSC Thompson Institute,12 Innovation Parkway,Birtinya,QLD,4575
26 Glentanna St KEDRON QLD 4031,26 Glentanna St,Kedron,QLD,4031
Canterbury College Limited,Old Logan Village Rd,WATERFORD,QLD,4133
Prescott College,2 Koonga Ave,PROSPECT,SA,5082
17 Duporth Avenue Moorchydore,17 Duporth Ave,MAROOCHYDORE,QLD,4558
6 Lanyana Way Noosa Heads,6 Lanyana Way,NOOSA HEADS,QLD,4567
Shop 4 26 Duporth Ave MAROOCHYDORE QLD 4558,26 Duporth Ave,MAROOCHYDORE,QLD,4558
Woodcroft College,143 Bains Rd,MORPHETT VALE,SA,5162
Holmes Colleges Qld Pty Ltd (Brisbane Campus),10 Herschel St,BRISBANE,QLD,4000
Holmes Colleges Qld Pty Ltd (Cairns campus),18 Lake St,CAIRNS,QLD,4870
Holmes Colleges Qld Pty Ltd (Gold Coast campus),"Level 2, Circle on Cavill",Surfers Paradise,QLD,4217
"Levels 2 & 3 126 Margaret Street, Brisbane 4000",Levels 2 & 3,Brisbane,QLD,4000
Heights College,Cnr Carlton St and Yaamba Rd,NORTH ROCKHAMPTON,QLD,4702
LSI Education,Level 2 133 Leichhardt Street,SPRING HILL,QLD,4000
"4/175 Varsity Parade, VARSITY LAKES",175 Varsity Pde,VARSITY LAKES,QLD,4227
Taylors College (Waterloo) (School operations),965 Bourke St,WATERLOO,NSW,2017
Kennedy Baptist College (amalgamated),Farrington Rd,MURDOCH,WA,6150
"495 Boundary Street, Spring Hill",495 Boundary St,SPRING HILL,QLD,4000
118 King William St ADELAIDE SA 5000,"Ground Floor, 118 King William St",Adelaide,SA,5000
GILLS COLLEGE AUSTRALIA - ADELAIDE CAMPUS,"Level 9, 118 King William St",ADELAIDE,SA,5000
Gills College Australia - Hornsby,Unit 10,HORNSBY,NSW,2077
GILLS COLLEGE AUSTRALIA - SURRY HILLS CAMPUS,410 Elizabeth St,SURRY HILLS,NSW,2010
Sterling Business College Pty Ltd,65 Newcastle St,PERTH,WA,6000
Biba Academy of Hair & Beauty Pty Ltd,236 Johnston St,FITZROY,VIC,3065
"Swanston Street, Melbourne",401 Swanston St,Melbourne,VIC,3000
"Levels 3, 4, 5, 7 & 9/108 Lonsdale St","Levels 3,4,5,6,7 & 9/108  Lonsdale St.",Melbourne,VIC,3000
Albany Senior High School,1 Campbell Rd,Mount Clarence,WA,6330
Applecross Primary School,65 Kintail Rd,Applecross,WA,6153
Applecross Senior High School,Links Rd,ARDROSS,WA,6153
Atwell College,201 Brenchley Dr,ATWELL,WA,6164
Atwell Primary School,160 Lydon Blvd,Atwell,WA,6164
Balcatta Senior High School,31 Poincaire St,BALCATTA,WA,6021
Balga Senior High School,2 Markham Way,Balga,WA,6061
Ballajura Community College,Illawarra Cres S,BALLAJURA,WA,6066
Ballajura Primary School,Illawarra Cres,South Ballajura,WA,6066
Beaconsfield Primary School,5 Hale St,Beaconsfield,WA,6162
Beckenham Primary School,386 Railway Pde,Beckenham,WA,6107
Beechboro Primary School,King Rd,Beechboro,WA,6063
Belmont City College,106 Fisher St,Belmont,WA,6104
Bentley Primary School,15 Hedley St,Bentley,WA,6102
Bridgetown High School,58 Steere Street,Bridgetown,WA,6255
Broome Senior High School,69 Frederick St,Broome,WA,6725
Bunbury Senior High School,10 Haig Cres,BUNBURY,WA,6230
Burrendah Primary School,Castlereagh Cl,WILLETTON,WA,6155
Busselton Senior High School,136 Bussell Hwy,BUSSELTON,WA,6280
Canning Vale College,26 Dumbarton Rd,CANNING VALE,WA,6155
Canning Vale Primary School,The Ramble,CANNING VALE,WA,6155
Carine Primary School,58 Osmaston Rd,CARINE,WA,6020
Carine Senior High School,51 Everingham St,CARINE,WA,6020
Carlisle Primary School,271 Orong Rd,Kewdale,WA,6105
Churchlands Primary School,Cromarty Rd,FLOREAT,WA,6014
Churchlands Senior High School,20 Lucca St,CHURCHLANDS,WA,6018
City Beach Primary School,30 Marapana Rd,City Beach,WA,6015
Cloverdale Primary School,180 Fisher St,Cloverdale,WA,6105
Collier Primary School,17 Hobbs Ave,COMO,WA,6152
Como Primary School,29 Thelma St,COMO,WA,6152
Como Secondary College,20 Bruce St,COMO,WA,6152
Coodanup Community College (secondary),Wanjeep St,Mandurah,WA,6210
Cottesloe Primary School,530 Stirling Hwy,Peppermint Grove,WA,6011
Currambine Primary School,28 Ambassador Dr,Currambine,WA,6028
Curtin Primary School,20 Goss Ave,Manning,WA,6152
Cyril Jackson Senior Campus,53 Reid St,BASSENDEAN,WA,6054
Deanmore Primary School,21 Deanmore Rd,KARRINYUP,WA,6018
"Department of Education,Western Australia",151 Royal St,EAST PERTH,WA,6004
Dianella Primary College,Laythorne St,Dianella,WA,6059
Dianella Secondary College,180 Nollamara Ave,Dianella,WA,6059
Doubleview Primary School,203 St Brigids Tce,DOUBLEVIEW,WA,6018
East Victoria Park Primary School,30 Beatty Ave,East Victoria Park,WA,6101
Eaton Primary School,35 Diadem St,Eaton,WA,6232
Eddystone Primary School,Littorina Ave,HEATHRIDGE,WA,6027
Edgewater Primary School,76 Treetop Ave,Edgewater,WA,6027
Esperance Senior High School,Pink Lake Rd,ESPERANCE,WA,6450
Fremantle College,Lefroy Rd,Beaconsfield,WA,6162
Fremantle Primary School,1 Brennan St,Fremantle,WA,6160
Gibbs Street Primary School,79 Gibbs St,East Cannington,WA,6107
Gilmore College,Dargin Pl,Orelia,WA,6167
Girrawheen Senior High School,39 Calvert Way,GIRRAWHEEN,WA,6064
Greenwood College,79 Coolibah Dr,Greenwood,WA,6024
Grovelands Primary School,14 Grovelands Dr,Camillo,WA,6111
Hampton Senior High School,Morley Dr E,MORLEY,WA,6062
Highgate Primary School,147 Lincoln St,HIGHGATE,WA,6003
Hillarys Primary School,75 Lymburner Dr,Hillarys,WA,6025
John Curtin College of the Arts,90 Ellen St,FREMANTLE,WA,6160
John Forrest Senior High School,180 Drake St,MORLEY,WA,6062
John Tonkin College,Education Dr,MANDURAH,WA,6210
Jolimont Primary School,657 Hay St,JOLIMONT,WA,6014
Jurien Bay District High School,19 Hamersley St,Jurien Bay,WA,6516
Kalamunda Senior High School,12 Cotherstone Rd,KALAMUNDA,WA,6076
Kalgoorlie-Boulder Community High School,PMB 9,Kalgoorlie,WA,6433
Kapinara Primary School,2 Catesby St,City Beach,WA,6015
Kardinya Primary School,Ochiltree Way,Kardinya,WA,6163
Kelmscott Senior High School,PO Box 21,KELMSCOTT,WA,6991
Kensington Primary School,73 Banksia Tce,KENSINGTON,WA,6151
Kent Street Senior High School,89 Kent St,EAST VICTORIA PARK,WA,6101
Kewdale Primary School,264 Kew St,Kewdale,WA,6105
Kinross College,Falkland Way,Kinross,WA,6028
Kinross Primary School,64 Kinross Dr,Kinross,WA,6028
Koondoola Primary school,50 Burbridge Ave,Koondoola,WA,6064
Lake Gwelup Primary School,59 Porter St,GWELUP,WA,6018
Lake Monger Primary School,Dodd St,WEMBLEY,WA,6014
Lakeland Senior High School,106 South Lake Dr,South Lake,WA,6210
Landsdale Primary School,The Broadview,Landsdale,WA,6065
Lathlain Primary School,120 Howick St,Lathlain,WA,6100
Leeming Senior High School,Aulberry Pde,LEEMING,WA,6149
Lockridge Primary School,48 Rosher Rd,Lockridge,WA,6054
Lynwood Senior High School,436 Metcalfe Rd,PARKWOOD,WA,6147
Manea Senior College,Robertson Dr,BUNBURY,WA,6230
Maylands Peninsula Primary School,60 Kelvin St,MAYLANDS,WA,6051
Melville Senior High School,18 Potts St,MELVILLE,WA,6156
Morley Primary School,36 Wellington Rd,Morley,WA,6062
Morley Senior High School,19 Bramwell Rd,NORANDA,WA,6062
Mount Lawley Primary School,92 Second Ave,Mount Lawley,WA,6050
Mount Lawley Senior High School,65 Woodsome St,MOUNT LAWLEY,WA,6050
Nedlands Primary School,35 Kingsway,NEDLANDS,WA,6009
Newborough Primary School,178 Newborough St,KARRINYUP,WA,6018
Newton Moore Senior High School,Hotchin St,Bunbury,WA,6230
Nollamara Primary School,101 Harrison St,Nollamara,WA,6061
North Balga Primary School,30 Maitland Rd,Balga,WA,6061
North Beach Primary School,75 North Beach Rd,North Beach,WA,6020
North Fremantle Primary School,John St,North Fremantle,WA,6159
North Lake Senior Campus,188 Winterfold Rd,KARDINYA,WA,6163
North Morley Primary School,75 Gordon Rd W,DIANELLA,WA,6059
North Perth Primary School,Cnr Albert St / Olive St,NORTH PERTH,WA,6006
Oberthur Primary School,Nicholls Cres,BULL CREEK,WA,6149
Osborne Primarry School,151 Albert St,Osborne Park,WA,6017
Parkwood Primary School,Zelkova Way,Parkwood,WA,6147
Phoenix Primary School,28 Phoenix Rd,Hamilton Hill,WA,6163
Ranford Primary School,10 Orkney Cres,Canning Vale,WA,6155
Roseworth Primary School,30 Stebbing Way,Girrawheen,WA,6064
Rossmoyne Senior High School,1 Keith Rd,ROSSMOYNE,WA,6148
Scarborough Primary School,Hinderwell St,Scarborough,WA,6019
Sevenoaks Senior College,275 Sevenoaks St,CANNINGTON,WA,6107
Shenton College,227 Stubbs Tce,SHENTON PARK,WA,6008
Sorrento Primary School,14 Elfreda Ave,Sorrento,WA,6020
Southern River College,Southern River Rd,Gosnells,WA,6110
Subiaco Primary School,271 Bagot Rd,Subiaco,WA,6008
Sutherland Dianella Primary School,5 Sutherland Ave,DIANELLA,WA,6059
Thornlie Primary School,Thornlie Ave,Thornlie,WA,6108
Thornlie Senior High School,2 Ovens Rd,Thornlie,WA,6108
Tuart Hill Primary School,Banksia St,Tuart Hill,WA,6060
Wanneroo Secondary College,56 Quarkum St,WANNEROO,WA,6065
Warwick Senior High School,355 Erindale Rd,Warwick,WA,6024
