location_name,address_line_1,city,state,postcode
Hamilton Secondary College,815 Marion Rd,Mitchell Park,SA,5043
Hampstead Primary School,38-56 Muller Road,Greenacres,SA,5086
Hawthorndene Primary School,Suffolk Rd,Hawthorndene,SA,5051
Heathfield High School,99 Longwood Rd,Heathfield,SA,5153
Henley High School,Cudmore Tce,Henley Beach,SA,5002
Highgate School,27 Avenue Rd,Highgate,SA,5063
Ingle Farm Primary School,2 Belalie Rd,INGLE FARM,SA,5098
John Pirie Secondary School,40 Mary Elie St,PORT PIRIE,SA,5540
Kangaroo Island Community Education,5 Centenary Ave,Kingscote,SA,5223
Kapunda High School,West Tce,Kapunda,SA,5373
Kidman Park Primary School,Dean Ave,KIDMAN PARK,SA,5025
Kilkenny Primary School,Jane St,West Croydon,SA,5088
Le Fevre Peninsula Primary School,Shorney St,Birkenhead,SA,5015
Lockleys Primary School,29 Elston St,Brooklyn Park,SA,5032
Loxton High School,1889 Bookpurnong Road,Loxton,SA,5333
Lucindale Area School,116 Gum Ave,LUCINDALE,SA,5272
Marden Senior College,1-37 Marden Road,Marden,SA,5070
Marion Primary School,2 Malcolm Ave,MARION,SA,5043
Marryatville High School,170 Kensington Rd,Marryatville,SA,5068
Marryatville Primary School,Dankel Ave,Kensington,SA,5068
Mawson Lakes School,Garden Tce,Mawson Lakes,SA,5095
Millicent High School,Mount Burr Rd,Millicent,SA,5280
Mitcham Girls High School,Kyre Ave,Kingswood,SA,5062
Modbury High School,62 Pompoota Rd,MODBURY,SA,5092
Moonta Area School,Moonta Area School,MOONTA,SA,5558
Mount Barker High School,2 Wellington Rd,Mount Barker,SA,5251
Mount Compass Area School,School Rd,Mount Compass,SA,5210
Mount Gambier High School,Brownes Rd,Mount Gambier,SA,5290
Mount Gambier North Primary School,Heath Street,MOUNT GAMBIER,SA,5290
Murray Bridge High School,Lohmann St,Murray Bridge,SA,5253
Naracoorte High School,Stewart Tce,Naracoorte,SA,5271
Newbery Park Primary School,Bridges St,Millicent,SA,5280
Norwood International High School,505 The Pde,Magill,SA,5072
Norwood Primary School,96 Beulah Rd,Norwood,SA,5067
Nuriootpa High School,Penrice Rd,Nuriootpa,SA,5355
Oakbank Area School,154 Onkaparinga Valley Rd,OAKBANK,SA,5243
Para Hills High School,90 Beafield Rd,Para Hills,SA,5096
Paradise Primary School,100 George St,Paradise,SA,5075
Parafield Gardens High School,15 Shepherdson Rd,Parafield Gardens,SA,5107
Paralowie R-12 School,168-186 Whites Road,Paralowie,SA,5108
Pennington School R-6,Butler Avenue,PENNINGTON,SA,5013
