job_name,job_openings,salary,job_growth,job_satisfaction,review_num,job_field
Plumber,"6,502",$85K,8.60%,3.9,Based on 64 reviews,Trades & Services
Plasterer,983,$70K,-4.00%,3.9,Based on 27 reviews,Trades & Services
Plant Technician,123,$103K,,3.7,Based on 3 reviews,Trades & Services
Plant Mechanic,"3,082",$120K,2.20%,4,Based on 27 reviews,Trades & Services
Pipelayer,275,$90K,,2.5,Based on 4 reviews,Trades & Services
Picture Framer,100,,-11.00%,4,Based on 6 reviews,Trades & Services
Pest Technician,126,$73K,,3.3,Based on 3 reviews,Trades & Services
Pastry Chef,"2,068",$73K,2.90%,4,Based on 64 reviews,Trades & Services
Parts Supervisor,465,$90K,,5,Based on 1 review,Trades & Services
Parts Manager,"2,468",$90K,,4,Based on 12 reviews,Trades & Services
Parts Interpreter,"3,613",$68K,0.40%,3.7,Based on 90 reviews,Trades & Services
Parts Adviser,117,$68K,,4.5,Based on 2 reviews,Trades & Services
Panelbeater,434,$95K,10.60%,3.7,Based on 29 reviews,Trades & Services
Painter,"3,223",$75K,2.90%,4.1,Based on 58 reviews,Trades & Services
Operations Technician,653,$95K,,4.5,Based on 2 reviews,Trades & Services
Nanny,100,$63K,5.90%,4.6,Based on 18 reviews,Trades & Services
Nail Technician,572,,12.20%,4.1,Based on 18 reviews,Trades & Services
Mower Operator,169,$63K,,3,Based on 2 reviews,Trades & Services
Motorcycle Technician,100,$70K,,4,Based on 1 review,Trades & Services
Motor Trimmer,100,,0.40%,4,Based on 1 review,Trades & Services
Motor Technician,100,$50K,,4,Based on 2 reviews,Trades & Services
Motor Mechanic,"3,618",$75K,-0.70%,3.7,Based on 44 reviews,Trades & Services
Metering Technician,100,$120K,,5,Based on 1 review,Trades & Services
Meter Technician,100,$93K,,4,Based on 1 review,Trades & Services
Meter Reader,341,$58K,,3.4,Based on 9 reviews,Trades & Services
Metalworker,187,$70K,,2,Based on 1 review,Trades & Services
Mechanical Technician,"2,279",$95K,10.80%,4,Based on 47 reviews,Trades & Services
Mechanical Fitter,"8,895",$105K,2.20%,4,Based on 135 reviews,Trades & Services
Mechanic,"10,997",$80K,3.10%,3.5,Based on 95 reviews,Trades & Services
Meat Manager,229,$70K,,3.8,Based on 5 reviews,Trades & Services
Master Technician,100,$80K,,4,Based on 1 review,Trades & Services
Makeup Artist,912,,12.20%,4.2,Based on 14 reviews,Trades & Services
Maintenance Technician,"1,848",$90K,6.10%,4.1,Based on 22 reviews,Trades & Services
Maintenance Team Leader,"5,965",$90K,,4,Based on 2 reviews,Trades & Services
Maintenance Supervisor,"4,935",$130K,,4,Based on 59 reviews,Trades & Services
Maintenance Person,839,$68K,,5,Based on 2 reviews,Trades & Services
Maintenance Officer,"6,453",$73K,10.90%,4,Based on 54 reviews,Trades & Services
Maintenance Manager,"8,162",$130K,,4,Based on 66 reviews,Trades & Services
Maintenance Fitter,"7,438",$95K,2.20%,4.1,Based on 99 reviews,Trades & Services
Maintenance Electrician,"6,706",$110K,10.20%,3.8,Based on 51 reviews,Trades & Services
Maintenance Coordinator,"1,643",$90K,,4,Based on 10 reviews,Trades & Services
Maintenance Controller,100,$85K,,3.5,Based on 2 reviews,Trades & Services
Maintenance Carpenter,"1,863",$83K,-0.60%,3.9,Based on 19 reviews,Trades & Services
Machinist,"3,007",$75K,,4.1,Based on 24 reviews,Trades & Services
Machine Technician,122,$78K,,4,Based on 3 reviews,Trades & Services
Mac Operator,,,,,,Trades & Services
Locksmith,72,$65K,3.20%,4,Based on 11 reviews,Trades & Services
Linesperson,"3,559",,,4.7,Based on 3 reviews,Trades & Services
Light Vehicle Mechanic,"2,625",$85K,-0.70%,3.7,Based on 20 reviews,Trades & Services
Layer,380,$80K,,,,Trades & Services
Landscaper,"5,468",$65K,13.50%,4,Based on 37 reviews,Trades & Services
Landscape Supervisor,296,$90K,,5,Based on 2 reviews,Trades & Services
Labourer,"28,120",$63K,6.90%,3.7,Based on 233 reviews,Trades & Services
Joiner,995,$80K,,4.7,Based on 6 reviews,Trades & Services
